word0	word1	score	success	speed
acorn	islet	0.6728291316526611	0.9592281356987239	4.004979769685652
acorn	stile	0.6728291316526611	0.9561157796451915	3.9934640522875817
alert	scion	0.6728291316526611	0.9558045440398382	3.964207905384376
alert	sonic	0.6728291316526611	0.9558045440398382	3.9427326486150016
alter	scion	0.6728291316526611	0.9607843137254902	3.998443821973234
alter	sonic	0.6728291316526611	0.9614067849361967	3.988795518207283
cairn	stole	0.6728291316526611	0.9582944288826641	3.9710550887021476
carlo	stein	0.6728291316526611	0.9595393713040772	3.9723000311235603
carol	stein	0.6728291316526611	0.9626517273576097	3.9760348583877994
close	train	0.6728291316526611	0.9604730781201369	3.9648303765950823
coral	stein	0.6728291316526611	0.9604730781201369	3.975412387177093
inlet	oscar	0.6728291316526611	0.9614067849361967	4.016184251478369
lares	tonic	0.6728291316526611	0.9626517273576097	3.971677559912854
later	scion	0.6728291316526611	0.9598506069094305	3.991596638655462
later	sonic	0.6728291316526611	0.9604730781201369	3.991596638655462
octal	rinse	0.6728291316526611	0.9589169000933707	3.9869281045751634
octal	risen	0.6728291316526611	0.9610955493308434	4.0130718954248366
octal	siren	0.6728291316526611	0.9632741985683162	3.9993775287892936
renal	stoic	0.6728291316526611	0.96171802054155	3.987239340180517
alice	snort	0.672829131652661	0.9582944288826641	3.9698101462807345
arlen	stoic	0.672829131652661	0.9648303765950825	4.004668534080299
arose	clint	0.672829131652661	0.9610955493308434	3.9919078742608156
carlo	inset	0.672829131652661	0.9604730781201369	3.9847494553376905
carol	inset	0.672829131652661	0.9632741985683162	3.9856831621537503
celia	snort	0.672829131652661	0.9592281356987239	3.950513538748833
clone	stair	0.672829131652661	0.9614067849361967	4.0
close	intra	0.672829131652661	0.9586056644880174	3.9859943977591037
coral	inset	0.672829131652661	0.964207905384376	3.9819483348895113
crest	ilona	0.672829131652661	0.9607843137254902	3.997821350762527
latin	score	0.672829131652661	0.957983193277311	3.9788359788359786
learn	stoic	0.672829131652661	0.96171802054155	3.9993775287892936
loire	scant	0.672829131652661	0.9573607220666044	3.963274198568316
relic	santo	0.672829131652661	0.9607843137254902	3.9869281045751634
alien	torus	0.6702147525676938	0.9520697167755992	3.9710550887021476
arson	utile	0.6702147525676938	0.9461562402738873	4.0015561780267666
erato	linus	0.6702147525676938	0.9467787114845938	3.9710550887021476
inset	raoul	0.6702147525676938	0.9508247743541861	4.0208527855586675
intra	louse	0.6702147525676938	0.9446000622471211	3.9751011515717396
intra	seoul	0.6702147525676938	0.9470899470899471	4.000622471210707
latin	rouse	0.6702147525676938	0.9470899470899471	3.984126984126984
linus	orate	0.6702147525676938	0.945845004668534	3.965764083411142
raoul	stein	0.6702147525676938	0.9517584811702459	4.004046062869592
route	slain	0.6702147525676938	0.9502023031434796	3.9719887955182074
sonar	utile	0.6702147525676938	0.9489573607220666	3.994708994708995
arent	louis	0.6702147525676937	0.9480236539060068	3.9564270152505445
arose	until	0.6702147525676937	0.9495798319327731	3.997510115157174
louse	train	0.6702147525676937	0.9483348895113601	3.970432617491441
noise	ultra	0.6702147525676937	0.9480236539060068	3.994708994708995
route	snail	0.6702147525676937	0.9495798319327731	3.9682539682539684
seoul	train	0.6702147525676937	0.9530034235916589	3.982570806100218
solar	unite	0.6702147525676937	0.9554933084344849	3.9968876439464673
royal	stein	0.6686585745409276	0.9520697167755992	4.010270774976657
alert	noisy	0.6686585745409275	0.9449112978524743	3.9533146591970123
alien	story	0.6686585745409275	0.9508247743541861	4.001244942421413
alter	noisy	0.6686585745409275	0.9483348895113601	3.980392156862745
elton	syria	0.6686585745409275	0.9520697167755992	4.000311235605353
inlay	store	0.6686585745409275	0.9514472455648926	4.019296607531902
inset	royal	0.6686585745409275	0.9508247743541861	4.0056022408963585
irony	least	0.6686585745409275	0.9539371304077187	4.011826953003424
irony	slate	0.6686585745409275	0.9502023031434796	4.0130718954248366
irony	stale	0.6686585745409275	0.9480236539060068	4.0171179582944285
irony	steal	0.6686585745409275	0.9548708372237784	4.040149393090569
italy	norse	0.6686585745409275	0.9464674758792406	3.990974167444756
italy	rosen	0.6686585745409275	0.9514472455648926	4.011204481792717
italy	senor	0.6686585745409275	0.9545596016184251	4.017740429505135
italy	snore	0.6686585745409275	0.9452225334578276	4.009959539371304
laity	norse	0.6686585745409275	0.9480236539060068	3.9747899159663866
laity	rosen	0.6686585745409275	0.9470899470899471	3.9635854341736696
laity	senor	0.6686585745409275	0.9551820728291317	3.995020230314348
laity	snore	0.6686585745409275	0.9474011826953004	3.9713663243075006
later	noisy	0.6686585745409275	0.9486461251167133	3.986305633364457
leroy	saint	0.6686585745409275	0.9564270152505446	3.9772798008092125
leroy	satin	0.6686585745409275	0.9539371304077187	3.991285403050109
leroy	stain	0.6686585745409275	0.9554933084344849	4.006224712107065
loire	tansy	0.6686585745409275	0.9483348895113601	3.9561157796451916
rainy	stole	0.6686585745409275	0.9483348895113601	3.991596638655462
loire	nasty	0.6686585745409274	0.945845004668534	3.9682539682539684
riley	santo	0.6686585745409274	0.9530034235916589	3.9794584500466854
aisle	thorn	0.665732959850607	0.9523809523809523	3.958294428882664
alien	short	0.665732959850607	0.9551820728291317	3.9816370992841583
elton	shari	0.665732959850607	0.9558045440398382	4.020541549953315
inert	shoal	0.665732959850607	0.9523809523809523	3.9919078742608156
inter	shoal	0.665732959850607	0.9582944288826641	4.023653906006847
least	rhino	0.665732959850607	0.9539371304077187	3.9788359788359786
other	slain	0.665732959850607	0.957983193277311	4.041394335511982
rhino	slate	0.665732959850607	0.9539371304077187	3.994086523498288
rhino	stale	0.665732959850607	0.9533146591970122	4.01244942421413
rhino	steal	0.665732959850607	0.9533146591970122	4.008403361344538
solar	thine	0.665732959850607	0.9638966697790228	3.9943977591036415
alone	shirt	0.6657329598506069	0.9517584811702459	3.9760348583877994
alton	shire	0.6657329598506069	0.9539371304077187	3.9822595704948647
arson	lithe	0.6657329598506069	0.9558045440398382	3.9931528166822283
ethan	loris	0.6657329598506069	0.9573607220666044	4.023965141612201
hasnt	loire	0.6657329598506069	0.9576719576719577	3.9673202614379086
horse	latin	0.6657329598506069	0.9573607220666044	3.9953314659197012
latin	shore	0.6657329598506069	0.9548708372237784	3.959228135698724
leona	shirt	0.6657329598506069	0.9539371304077187	3.9698101462807345
lithe	sonar	0.6657329598506069	0.9592281356987239	3.9965764083411144
loath	rinse	0.6657329598506069	0.957983193277311	3.9953314659197012
loath	risen	0.6657329598506069	0.9620292561469032	4.0133831310301895
loath	siren	0.6657329598506069	0.9626517273576097	3.9856831621537503
loire	shant	0.6657329598506069	0.9573607220666044	3.976968565203859
loris	neath	0.6657329598506069	0.9582944288826641	3.9897292250233427
other	snail	0.6657329598506069	0.9589169000933707	4.038593215063803
salon	their	0.6657329598506069	0.9573607220666044	3.9676314970432616
shire	talon	0.6657329598506069	0.9564270152505446	3.9576719576719577
shire	tonal	0.6657329598506069	0.9570494864612512	3.965452847805789
shone	trail	0.6657329598506069	0.9582944288826641	3.990974167444756
shone	trial	0.6657329598506069	0.9592281356987239	4.003734827264239
sloan	their	0.6657329598506069	0.9595393713040772	3.994708994708995
aisle	north	0.6657329598506068	0.954248366013072	3.977591036414566
adorn	islet	0.6641767818238407	0.9564270152505446	4.024276377217554
adorn	stile	0.6641767818238407	0.9526921879863056	4.012138188608777
arson	tilde	0.6641767818238407	0.9601618425147836	3.9891067538126364
drain	stole	0.6641767818238407	0.9576719576719577	4.0018674136321195
ideal	snort	0.6641767818238407	0.954248366013072	4.014628073451603
islet	radon	0.6641767818238407	0.9564270152505446	4.023342670401494
linda	store	0.6641767818238407	0.9505135387488328	3.964207905384376
loire	stand	0.6641767818238407	0.9564270152505446	4.000311235605353
nadir	stole	0.6641767818238407	0.9558045440398382	4.013694366635543
norse	tidal	0.6641767818238407	0.9573607220666044	3.982570806100218
