word0	word1	score	success	speed
ian	toe	0.44620114185331583	0.4413702239789196	2.08300395256917
ate	ion	0.4462011418533158	0.4519104084321476	2.1067193675889326
eat	ion	0.4462011418533158	0.4426877470355731	2.0764163372859024
eta	ion	0.4462011418533158	0.466403162055336	2.1725955204216074
ani	toe	0.4462011418533157	0.45454545454545453	2.121212121212121
ion	tea	0.4462011418533157	0.45322793148880103	2.1172595520421607
oat	pie	0.4396135265700484	0.45718050065876153	2.1673254281949936
ape	ito	0.4396135265700483	0.4756258234519104	2.227931488801054
ate	poi	0.4396135265700483	0.4756258234519104	2.2371541501976284
eat	poi	0.4396135265700483	0.45849802371541504	2.1752305665349145
epa	ito	0.4396135265700483	0.48484848484848486	2.2635046113306982
eta	poi	0.4396135265700483	0.4874835309617918	2.2859025032938076
ito	pea	0.4396135265700483	0.4743083003952569	2.2213438735177866
pie	tao	0.4396135265700483	0.47035573122529645	2.2134387351778657
poi	tea	0.43961352657004826	0.4743083003952569	2.233201581027668
air	toe	0.4365393061045235	0.463768115942029	2.1594202898550723
are	ito	0.4365393061045235	0.47167325428194995	2.1923583662714097
ate	rio	0.4365393061045235	0.47167325428194995	2.1989459815546772
ear	ito	0.4365393061045235	0.4743083003952569	2.217391304347826
eat	rio	0.4365393061045235	0.46903820816864294	2.2028985507246377
era	ito	0.4365393061045235	0.4888010540184453	2.271409749670619
eta	rio	0.4365393061045235	0.4874835309617918	2.2635046113306982
ira	toe	0.4365393061045235	0.48221343873517786	2.2371541501976284
ito	rae	0.4365393061045235	0.46772068511198944	2.1910408432147563
oar	tie	0.4365393061045235	0.463768115942029	2.1752305665349145
rio	tea	0.4365393061045235	0.4756258234519104	2.2160737812911724
ire	oat	0.43653930610452346	0.463768115942029	2.171277997364954
ire	tao	0.43653930610452346	0.46772068511198944	2.1805006587615283
ado	tie	0.43434343434343436	0.4756258234519104	2.2384716732542818
aid	toe	0.43434343434343436	0.46772068511198944	2.205533596837945
die	tao	0.43434343434343436	0.46772068511198944	2.22266139657444
ida	toe	0.43434343434343436	0.4743083003952569	2.230566534914361
die	oat	0.4343434343434343	0.45586297760210803	2.1831357048748354
ian	poe	0.4330259112867809	0.44664031620553357	2.137022397891963
ape	ion	0.43302591128678086	0.461133069828722	2.1805006587615283
epa	ion	0.43302591128678086	0.4624505928853755	2.177865612648221
